POI Type,ID,Name,X,Y,Z,Reference System,Notes
planetaryNebula,CGN II-61,Noska Nebula,-9902.25,-748.438,23108,Agnairt YF-O e6-3128,
planetaryNebula,CGN II-62,Agnairy DB-X e1-1828,-3629.09,-723.031,22381.3,Agnairy DB-X e1-1828,
planetaryNebula,CGN II-63,Agnairy DG-X e1-4409,-3318.31,-593.125,22444.3,Agnairy DG-X e1-4409,
planetaryNebula,CGN II-64,Agnairy ER-V e2-218,-3516.38,-430.25,22577.6,Agnairy ER-V e2-218,
planetaryNebula,CGN II-65,Agnairy HW-W e1-1654,-3330.72,-855.125,22412.3,Agnairy HW-W e1-1654,
planetaryNebula,CGN II-66,Agnairy HW-W e1-410,-3312.16,-913.75,22411.1,Agnairy HW-W e1-410,
planetaryNebula,CGN II-67,Lexx Nebula,-2713.66,-77.0312,22617.5,Agnairy JH-U e3-2113,
planetaryNebula,CGN II-68,Agnairy MI-B e1225,-3805.06,-108.031,22119.5,Agnairy MI-B e1225,
planetaryNebula,CGN II-69,Agnairy ND-S e4-2877,-3417.62,-451.844,22810.7,Agnairy ND-S e4-2877,
planetaryNebula,CGN II-70,Agnairy VO-R e4-2758,-2952.81,-869.375,22906.3,Agnairy VO-R e4-2758,
planetaryNebula,CGN II-71,Agnairy WZ-Y e8378,-3844.91,-514.344,22274,Agnairy WZ-Y e8378,
planetaryNebula,CGN II-72,Agnairy XP-X e1-3006,-3628.16,-253.531,22321.4,Agnairy XP-X e1-3006,
planetaryNebula,CGN II-73,Agnaiz BG-O e6-10131,-8175.81,-714.625,23145.1,Agnaiz BG-O e6-10131,
planetaryNebula,CGN II-74,Agnaiz CQ-Y e1624,-8628.16,-880.375,22144.7,Agnaiz CQ-Y e1624,
planetaryNebula,CGN II-75,Agnaiz GB-X e1-2062,-8361.16,-710.875,22341.9,Agnaiz GB-X e1-2062,
planetaryNebula,CGN II-76,Agnaiz KX-T e3-9500,-8271.97,-455.906,22714.9,Agnaiz KX-T e3-9500,
planetaryNebula,CGN II-77,Agnaiz MS-T e3-1543,-8286.56,-645.719,22680.2,Agnaiz MS-T e3-1543,
planetaryNebula,CGN II-78,Agnaiz VY-A e5276,-8177.41,-388.25,21983.8,Agnaiz VY-A e5276,
planetaryNebula,CGN II-79,Agnaiz WE-Z e1533,-8562.28,-394.375,22261.7,Agnaiz WE-Z e1533,
planetaryNebula,CGN II-80,Agnaiz YP-O e6-6058,-7924.69,-496.469,23193.5,Agnaiz YP-O e6-6058,
planetaryNebula,CGN II-81,Aiphairns VZ-P e5-33,-9743.75,574.625,34531.4,Aiphairns VZ-P e5-33,
planetaryNebula,CGN II-82,Aiphaits BF-R e4-239,-7746.59,101.5,34325.5,Aiphaits BF-R e4-239,
planetaryNebula,CGN II-83,Aiphaits DQ-P e5-1427,-7840.88,157.406,34587.9,Aiphaits DQ-P e5-1427,
planetaryNebula,CGN II-84,Aiphaits UJ-R e4-2746,-8676.5,271.219,34436.7,Aiphaits UJ-R e4-2746,
planetaryNebula,CGN II-85,Aiphaits ZP-P e5-207,-8483.62,280.938,34608.8,Aiphaits ZP-P e5-207,
planetaryNebula,CGN II-86,Aiphaitt JG-Y e186,-4323.31,88.0625,33808.6,Aiphaitt JG-Y e186,
planetaryNebula,CGN II-87,Aiphaitt JW-W e1-1202,-4256.53,329.375,33957.6,Aiphaitt JW-W e1-1202,
planetaryNebula,CGN II-88,Aiphaitt QX-U e2-1354,-4127.5,238.812,33979.2,Aiphaitt QX-U e2-1354,
planetaryNebula,CGN II-89,Aiphaitt WJ-A e6622,-5110.84,436.812,33632,Aiphaitt WJ-A e6622,
planetaryNebula,CGN II-90,Aishaidy OI-T e3-11,11806.7,412.594,34183.6,Aishaidy OI-T e3-11,
planetaryNebula,CGN II-91,Aishaind DL-Y e301,-3688.44,186.719,33786.2,Aishaind DL-Y e301,
planetaryNebula,CGN II-92,Aishaind MS-T e3-269,-3177.88,686,34231.8,Aishaind MS-T e3-269,
planetaryNebula,CGN II-93,Aishaind XJ-A e1332,-3603.78,375.656,33518,Aishaind XJ-A e1332,
planetaryNebula,CGN II-94,Aishaind XJ-A e7812,-3643.44,382.156,33505.4,Aishaind XJ-A e7812,
planetaryNebula,CGN II-95,Aishaind YE-Z e2264,-3240.31,791.812,33793.4,Aishaind YE-Z e2264,
planetaryNebula,CGN II-96,Aishaink CA-Z e240,2244.81,706.625,33810.9,Aishaink CA-Z e240,
planetaryNebula,CGN II-97,Aishaink DF-A e7897,2068.38,191.281,33581.2,Aishaink DF-A e7897,
planetaryNebula,CGN II-98,Aishaink EM-V e2-3704,1317.12,670.031,33996.2,Aishaink EM-V e2-3704,
planetaryNebula,CGN II-99,Aishaink GQ-Y e926,2240.91,388.094,33807.8,Aishaink GQ-Y e926,
planetaryNebula,CGN II-100,Aishaink IC-U e3-1205,1864,949.656,34258.6,Aishaink IC-U e3-1205,
planetaryNebula,CGN II-101,Aishaink IC-U e3-570,1917.84,1090.41,34216.5,Aishaink IC-U e3-570,
planetaryNebula,CGN II-102,Aishaink KR-W e1-2829,1888.31,192.438,33859.8,Aishaink KR-W e1-2829,
planetaryNebula,CGN II-103,Aishaink NM-W e1-8923,2159.59,13.0938,33952.2,Aishaink NM-W e1-8923,
planetaryNebula,CGN II-104,Aishaink PD-B e3707,1423.81,951.125,33536.1,Aishaink PD-B e3707,
planetaryNebula,CGN II-105,Aishaink RE-Q e5-4620,1390.47,754.656,34519.3,Aishaink RE-Q e5-4620,
planetaryNebula,CGN II-106,Aishaink SJ-R e4-2451,1260.78,189.125,34312.5,Aishaink SJ-R e4-2451,
planetaryNebula,CGN II-107,Aishaink SS-U e2-3779,2195.94,45.4375,34073.9,Aishaink SS-U e2-3779,
planetaryNebula,CGN II-108,Aishaink TI-T e3-2702,2380.59,380.875,34268.9,Aishaink TI-T e3-2702,
planetaryNebula,CGN II-109,Aishaink TO-R e4-616,1788,353.281,34361.8,Aishaink TO-R e4-616,
planetaryNebula,CGN II-110,Aishaink TO-R e4-7249,1810.75,377.938,34445,Aishaink TO-R e4-7249,
planetaryNebula,CGN II-111,Aishaink TZ-P e5-77,1530.72,575.281,34516.8,Aishaink TZ-P e5-77,
planetaryNebula,CGN II-112,Aishaink WF-O e6-4609,1335.12,572.375,34621.7,Aishaink WF-O e6-4609,
planetaryNebula,CGN II-113,Aishaink XY-S e3-2017,2449.22,33.5625,34191.7,Aishaink XY-S e3-2017,
planetaryNebula,CGN II-114,Aishaink XY-S e3-2107,2342.56,109.438,34215.9,Aishaink XY-S e3-2107,
planetaryNebula,CGN II-115,Aishaink YE-A e2426,1244.19,184.688,33537.8,Aishaink YE-A e2426,
planetaryNebula,CGN II-116,Aishaink ZJ-A e5982,1810.25,443.031,33557,Aishaink ZJ-A e5982,
planetaryNebula,CGN II-117,Aishaink ZP-X e1-1880,1852.59,1065.34,33967.4,Aishaink ZP-X e1-1880,
planetaryNebula,CGN II-118,Aishaink ZZ-P e5-1822,2347.75,611.844,34523.3,Aishaink ZZ-P e5-1822,
planetaryNebula,CGN II-119,Aishainn DV-Y e20,4626.88,544.375,33675.5,Aishainn DV-Y e20,
planetaryNebula,CGN II-120,Aishainn EW-N e6-215,4522.88,173.344,34702.2,Aishainn EW-N e6-215,
planetaryNebula,CGN II-121,Aishainn FG-Y e5497,3993.44,123.469,33687.5,Aishainn FG-Y e5497,
planetaryNebula,CGN II-122,Aishainn MI-T e3-6728,3892.66,359,34139.4,Aishainn MI-T e3-6728,
planetaryNebula,CGN II-123,Aishainn RY-S e3-834,4032.59,24.8125,34272.8,Aishainn RY-S e3-834,
planetaryNebula,CGN II-124,Aishainn TZ-P e5-4471,4040.78,509.938,34522.7,Aishainn TZ-P e5-4471,
planetaryNebula,CGN II-125,Aishainn UO-A e5660,3884.22,583.656,33545.2,Aishainn UO-A e5660,
planetaryNebula,CGN II-126,Aishainn WY-S e3-3276,4869.94,116.781,34146.1,Aishainn WY-S e3-3276,
planetaryNebula,CGN II-127,Aishainn XE-R e4-75,4357.84,65.4688,34425.6,Aishainn XE-R e4-75,
planetaryNebula,CGN II-128,Aishainn XP-X e1-2986,4060.72,1018.97,33940.8,Aishainn XP-X e1-2986,
planetaryNebula,CGN II-129,Aishainn ZJ-A e384,4297.66,329.5,33637.4,Aishainn ZJ-A e384,
planetaryNebula,CGN II-130,Aishaish BL-X e1-182,517.719,794.281,33927.9,Aishaish BL-X e1-182,
planetaryNebula,CGN II-131,Aishaish EQ-Y e5911,620.094,374.125,33810.1,Aishaish EQ-Y e5911,
planetaryNebula,CGN II-132,Aishaish IR-N e6-10632,1044.06,51.875,34753.2,Aishaish IR-N e6-10632,
planetaryNebula,CGN II-133,Aishaish JB-X e1-8591,1140.34,570.094,33835.3,Aishaish JB-X e1-8591,
planetaryNebula,CGN II-134,Aishaish RI-B e1196,776.219,1187.56,33554.1,Aishaish RI-B e1196,
planetaryNebula,CGN II-135,Aishaish RS-U e2-96,790.219,122.125,34067.1,Aishaish RS-U e2-96,
planetaryNebula,CGN II-136,Aishaish SD-T e3-3218,636.062,200.656,34185.8,Aishaish SD-T e3-3218,
planetaryNebula,CGN II-137,Aishaish VE-Q e5-80,864.562,668.25,34566.5,Aishaish VE-Q e5-80,
planetaryNebula,CGN II-138,Aishaish WY-A e847,964,878.25,33514,Aishaish WY-A e847,
planetaryNebula,CGN II-139,Aishaism LS-T e3-8,6856.97,694.406,34163.9,Aishaism LS-T e3-8,
planetaryNebula,CGN II-140,Aowriae HG-Y e2203,569.688,1264.94,33771.7,Aowriae HG-Y e2203,
planetaryNebula,CGN II-141,Assaipy FA-A e18,20007.5,43.8438,34915.3,Assaipy FA-A e18,
planetaryNebula,CGN II-142,Athaihn AW-V e2-424,1235.03,-280.812,22598.3,Athaihn AW-V e2-424,
planetaryNebula,CGN II-143,Athaihn CK-A e5322,2273.81,-892.031,22047.9,Athaihn CK-A e5322,
planetaryNebula,CGN II-144,Athaihn DB-X e1-5971,1432.47,-734.875,22392,Athaihn DB-X e1-5971,
planetaryNebula,CGN II-145,Athaihn EV-Y e431,2230.22,-727.094,22146.4,Athaihn EV-Y e431,
planetaryNebula,CGN II-146,Athaihn EV-Y e5143,2332.88,-739.781,22207.7,Athaihn EV-Y e5143,
planetaryNebula,CGN II-147,Athaihn FG-X e1-9243,2153.12,-593.875,22429.6,Athaihn FG-X e1-9243,
planetaryNebula,CGN II-148,Athaihn HH-V e2-8388,1514.25,-723.969,22609,Athaihn HH-V e2-8388,
planetaryNebula,CGN II-149,Athaihn IH-V e2-3460,1606.44,-762.031,22554.1,Athaihn IH-V e2-3460,
planetaryNebula,CGN II-150,Athaihn LI-S e4-887,1833.97,-243.562,22863.8,Athaihn LI-S e4-887,
planetaryNebula,CGN II-151,Athaihn NH-V e2-4954,2363.91,-820.906,22539.8,Athaihn NH-V e2-4954,
planetaryNebula,CGN II-152,Athaihn OT-R e4-6954,1362.12,-666.094,22859.7,Athaihn OT-R e4-6954,
planetaryNebula,CGN II-153,Athaihn PJ-Q e5-746,1441.53,-446.719,23071.2,Athaihn PJ-Q e5-746,
planetaryNebula,CGN II-154,Athaihn QY-R e4-9676,1924.56,-527,22897.9,Athaihn QY-R e4-9676,
planetaryNebula,CGN II-155,Athaihn UJ-Q e5-552,2177.5,-353.156,23091.9,Athaihn UJ-Q e5-552,
planetaryNebula,CGN II-156,Athaihn WO-A e9221,1686.72,-749.094,22060.2,Athaihn WO-A e9221,
planetaryNebula,CGN II-157,Athaip Wisteria Nebula,511.844,-1020.88,23171.3,Athaip DW-N e6-3063,
planetaryNebula,CGN II-158,Athaip GL-Y e7400,645.094,-1103.56,22250.1,Athaip GL-Y e7400,
planetaryNebula,CGN II-159,Athaip PN-T e3-5188,812.438,-749.375,22623.9,Athaip PN-T e3-5188,
planetaryNebula,CGN II-160,Athaip QD-S e4-12,919.062,-499.031,22776,Athaip QD-S e4-12,
planetaryNebula,CGN II-161,Athaip QN-T e3-2030,940.969,-786.094,22751.1,Athaip QN-T e3-2030,
planetaryNebula,CGN II-162,Athaip QN-T e3-8082,1000.59,-766.75,22714.7,Athaip QN-T e3-8082,
planetaryNebula,CGN II-163,Athaip TY-S e3-5853,478.875,-1230.59,22627.6,Athaip TY-S e3-5853,
planetaryNebula,CGN II-164,Athaip YU-P e5-8031,678.094,-899.188,23054.2,Athaip YU-P e5-8031,
planetaryNebula,CGN II-165,Lesser Athaip Nebula,426.406,-1091.94,22967.6,Athaip ZP-P e5-6688,
planetaryNebula,CGN II-166,Athair DH-U e3-54,6509.84,-149.719,22661.8,Athair DH-U e3-54,
planetaryNebula,CGN II-167,Athair FB-X e1-139,6853.47,-754.375,22309.6,Athair FB-X e1-139,
planetaryNebula,CGN II-168,Athair GG-X e1-1493,7320.97,-624.062,22296.2,Athair GG-X e1-1493,
planetaryNebula,CGN II-169,Athair RI-B e275,7269.5,-79.8125,22061.1,Athair RI-B e275,
planetaryNebula,CGN II-170,Athair SU-O e6-17,6684.38,-246.594,23212.6,Athair SU-O e6-17,
planetaryNebula,CGN II-171,Athair ZE-Z e232,7178.5,-407.906,22203.3,Athair ZE-Z e232,
planetaryNebula,CGN II-172,Athairk BQ-Y e2099,2730.22,-886.031,22154.1,Athairk BQ-Y e2099,
planetaryNebula,CGN II-173,Athairk DG-O e6-6528,3761,-705.625,23159.4,Athairk DG-O e6-6528,
planetaryNebula,CGN II-174,Athairk DG-O e6-8226,3666.47,-786.219,23200,Athairk DG-O e6-8226,
planetaryNebula,CGN II-175,Athairk EC-U e3-186,2627.25,-338.938,22748.9,Athairk EC-U e3-186,
planetaryNebula,CGN II-176,Athairk HC-U e3-1709,3077.09,-250.125,22679.1,Athairk HC-U e3-1709,
planetaryNebula,CGN II-177,Athairk JB-X e1-1309,3736.97,-807.125,22419.1,Athairk JB-X e1-1309,
planetaryNebula,CGN II-178,Athairk MH-V e2-1078,3560.88,-760.438,22557.1,Athairk MH-V e2-1078,
planetaryNebula,CGN II-179,Athairk PN-T e3-3267,3446.28,-820.812,22617.3,Athairk PN-T e3-3267,
planetaryNebula,CGN II-180,Athairk TZ-P e5-10496,2731.19,-810.094,23012,Athairk TZ-P e5-10496,
planetaryNebula,CGN II-181,Aumaimy HR-N e6-82,-12003.2,1260.28,21918.3,Aumaimy HR-N e6-82,
planetaryNebula,CGN II-182,Aunaihm XE-Z e58,-8498.59,2214.88,20915.3,Aunaihm XE-Z e58,
planetaryNebula,CGN II-183,Aunaihn IB-X e1-541,-5354.09,1842.66,21070.9,Aunaihn IB-X e1-541,
planetaryNebula,CGN II-184,Aunair AQ-P e5-2234,-619.125,1562.66,21686.2,Aunair AQ-P e5-2234,
planetaryNebula,CGN II-185,Aunair BB-O e6-1382,-848.062,1722.22,21904.6,Aunair BB-O e6-1382,
planetaryNebula,CGN II-186,Aunair MI-S e4-126,-622.688,2347.97,21580,Aunair MI-S e4-126,
planetaryNebula,CGN II-187,Aunairm MH-V e2-658,999.906,1773.34,21223.1,Aunairm MH-V e2-658,
planetaryNebula,CGN II-188,Aunairm VJ-R e4-2411,431.438,1484.81,21605.4,Aunairm VJ-R e4-2411,
planetaryNebula,CGN II-189,Auphails QI-B e12,3264.38,-119,50292.8,Auphails QI-B e12,
planetaryNebula,CGN II-190,Auphairks AF-Z e2,7407.03,-488.875,50356.5,Auphairks AF-Z e2,
planetaryNebula,CGN II-191,Baukaae AB-O e6-497,4252.5,315.344,29584.2,Baukaae AB-O e6-497,
planetaryNebula,CGN II-192,Baukaae BG-O e6-4362,4707.88,589.312,29634.6,Baukaae BG-O e6-4362,
planetaryNebula,CGN II-193,Baukaae BG-O e6-8605,4685.75,553.031,29524.1,Baukaae BG-O e6-8605,
planetaryNebula,CGN II-194,Baukaae GW-W e1-4352,4112.72,296.5,28728.5,Baukaae GW-W e1-4352,
planetaryNebula,CGN II-195,Baukaae HG-X e1-1397,4901.66,659.375,28784.1,Baukaae HG-X e1-1397,
planetaryNebula,CGN II-196,Baukaae JR-V e2-1321,5014.53,928.469,28957.5,Baukaae JR-V e2-1321,
planetaryNebula,CGN II-197,Baukaae NX-U e2-3870,4257.59,276.812,28872.8,Baukaae NX-U e2-3870,
planetaryNebula,CGN II-198,Baukaae OC-V e2-7688,4867.72,384.844,28929.2,Baukaae OC-V e2-7688,
planetaryNebula,CGN II-199,Baukaae TT-A e653,4049.88,769.031,28534.4,Baukaae TT-A e653,
planetaryNebula,CGN II-200,Baukeau BA-A e6935,5281.91,47.0938,28426.9,Baukeau BA-A e6935,
planetaryNebula,CGN II-201,Baukeau EL-P e5-4369,6086.72,126.812,29472.6,Baukeau EL-P e5-4369,
planetaryNebula,CGN II-202,Baukeau FA-A e8876,5969.47,123.219,28428.4,Baukeau FA-A e8876,
planetaryNebula,CGN II-203,Baukeau FV-Y e6523,6294.09,607.625,28649.8,Baukeau FV-Y e6523,
planetaryNebula,CGN II-204,Baukeau GH-V e2-2506,5206.22,497.469,28906.4,Baukeau GH-V e2-2506,
planetaryNebula,CGN II-205,Baukeau GL-Y e7617,5749.12,293.531,28657.4,Baukeau GL-Y e7617,
planetaryNebula,CGN II-206,Baukeau HW-V e2-1072,6289.25,989.375,28948.2,Baukeau HW-V e2-1072,
planetaryNebula,CGN II-207,Baukeau IC-V e2-1573,5089.44,345.312,28987.1,Baukeau IC-V e2-1573,
planetaryNebula,CGN II-208,Baukeau JW-W e1-9803,5984.31,438.531,28761.1,Baukeau JW-W e1-9803,
planetaryNebula,CGN II-209,Baukeau MC-V e2-3833,5802.12,297.188,28968,Baukeau MC-V e2-3833,
planetaryNebula,CGN II-210,Baukeau OC-V e2-6922,6068.62,371.938,28914,Baukeau OC-V e2-6922,
planetaryNebula,CGN II-211,Baukeau QD-S e4-325,6058.66,797.094,29311.9,Baukeau QD-S e4-325,
planetaryNebula,CGN II-212,Baukeau VD-T e3-2839,6179.84,271.781,29137.3,Baukeau VD-T e3-2839,
planetaryNebula,CGN II-213,Baukeau WP-X e1-2123,5190.91,1061,28772.4,Baukeau WP-X e1-2123,
planetaryNebula,CGN II-214,Baukeau WP-X e1-5169,5129.62,968.156,28737.5,Baukeau WP-X e1-5169,
planetaryNebula,CGN II-215,Baukeau XE-Q e5-3536,6246.94,617.406,29470.7,Baukeau XE-Q e5-3536,
planetaryNebula,CGN II-216,Baukeau ZJ-A e2165,5669.03,388.219,28496.8,Baukeau ZJ-A e2165,
planetaryNebula,CGN II-217,Baukeau ZJ-A e8007,5577.97,342.906,28421,Baukeau ZJ-A e8007,
planetaryNebula,CGN II-218,Baukeau ZZ-Y e4088,5587.88,722.875,28634.2,Baukeau ZZ-Y e4088,
planetaryNebula,CGN II-219,Baukeau ZZ-Y e6751,5559.78,630.344,28571.2,Baukeau ZZ-Y e6751,
planetaryNebula,CGN II-220,Baukee AB-O e6-3726,6808.19,357.25,29628.3,Baukee AB-O e6-3726,
planetaryNebula,CGN II-221,Baukee AV-Y e3634,6672.78,533.062,28645,Baukee AV-Y e3634,
planetaryNebula,CGN II-222,Baukee EA-A e761,7087.03,52.625,28440.9,Baukee EA-A e761,
planetaryNebula,CGN II-223,Baukee FB-X e1-2545,6824.69,498.781,28782.8,Baukee FB-X e1-2545,
planetaryNebula,CGN II-224,Baukee FL-P e5-142,7511.66,25.875,29440.9,Baukee FL-P e5-142,
planetaryNebula,CGN II-225,Baukee FR-N e6-6020,6888.44,22.9062,29606.5,Baukee FR-N e6-6020,
planetaryNebula,CGN II-226,Baukee KX-U e2-7195,6454.03,198.188,28907.8,Baukee KX-U e2-7195,
planetaryNebula,CGN II-227,Baukee PS-U e2-1541,6848.91,-11.2188,28911.9,Baukee PS-U e2-1541,
planetaryNebula,CGN II-228,Baukee WY-S e3-6952,7299.41,25.9688,29071.8,Baukee WY-S e3-6952,
planetaryNebula,CGN II-229,Baukee XJ-A e9428,6516.66,447,28394.7,Baukee XJ-A e9428,
planetaryNebula,CGN II-230,Baukee XY-A e2862,7590.62,913.25,28425.4,Baukee XY-A e2862,
planetaryNebula,CGN II-231,Baukee ZA-O e6-5584,6645.84,414.469,29607.9,Baukee ZA-O e6-5584,
planetaryNebula,CGN II-232,Baukoa CQ-Y e2052,2865.56,368.938,28546.4,Baukoa CQ-Y e2052,
planetaryNebula,CGN II-233,Baukoa CR-V e2-6258,2542.81,828.062,29014.5,Baukoa CR-V e2-6258,
planetaryNebula,CGN II-234,Baukoa EW-W e1-3233,2523.22,336.469,28759.1,Baukoa EW-W e1-3233,
planetaryNebula,CGN II-235,Baukoa HG-X e1-1630,3688.75,642.094,28805.3,Baukoa HG-X e1-1630,
